AR,PR,MA,ML,AR,EC,CA,ED,EX,R,Class
32355,657.166,221.279621,186.3604099,1.18737462,0.539174328,32720,202.9671537,0.783793605,0.941458316,0
32368,675.385,221.6580649,186.1762293,1.190581987,0.542701939,32806,203.0079249,0.759099437,0.891708502,0
32376,643.009,219.1300137,188.3004274,1.163725525,0.511456521,32608,203.0330109,0.784302326,0.984008731,0
32433,653.76,219.8366971,188.0092368,1.169286684,0.518261408,32775,203.2116585,0.769320176,0.953586944,0
32465,653.85,225.2024494,183.6920946,1.225977906,0.578509868,32767,203.3118831,0.765034405,0.954265043,0
32514,649.012,221.4454899,187.1344232,1.183349841,0.534673644,32843,203.4652564,0.7849831,0.970006874,0
32518,651.651,221.2627854,187.2561106,1.181605154,0.532696427,32811,203.4777716,0.758915235,0.962284651,0
32518,655.131,220.8211992,187.6655865,1.176673909,0.527019605,32842,203.4777716,0.794032183,0.952088655,0
32525,663.914,225.0778556,184.2147342,1.221823306,0.574579254,33000,203.4996712,0.769057978,0.927264249,0
32578,657.571,227.037574,182.8423057,1.241712486,0.592813998,32901,203.6654067,0.781922043,0.946779791,0
32581,649.583,224.4241779,184.9234713,1.213605695,0.566603091,32851,203.6747839,0.772061611,0.970297635,0
32615,664.789,218.1467463,191.002277,1.142115946,0.483095172,33016,203.7810289,0.808562858,0.927383997,0
32622,657.009,235.2708698,177.1581895,1.328027061,0.658024288,32902,203.802896,0.779311992,0.949681133,0
32698,653.049,225.0141906,185.1437243,1.215348733,0.568317852,32994,204.0401594,0.767684831,0.963472928,0
32705,654.454,223.8758675,186.1499298,1.20266426,0.555543833,33021,204.0619987,0.779469946,0.959545923,0
32713,660.043,215.4163208,193.4864621,1.113340533,0.43959156,33020,204.0869551,0.799516082,0.943595321,0
32729,656.679,214.2657207,194.793825,1.099961565,0.416528466,33066,204.1368587,0.769153036,0.953753937,0
32774,660.614,222.8700513,187.4792477,1.188771846,0.540717403,33120,204.2771471,0.790153816,0.943721321,0
32775,649.807,220.0250995,189.8094038,1.159189666,0.505764488,33062,204.2802636,0.772630835,0.975402341,0
32795,651.03,225.2102521,185.6002312,1.213415795,0.566415511,33091,204.3425821,0.775992617,0.972334053,0
32796,654.824,223.1453687,187.4192621,1.190621317,0.542744878,33111,204.3456976,0.800820453,0.961128742,0
32799,653.729,219.9055494,190.1123396,1.156713709,0.502601593,33087,204.3550436,0.746177996,0.964439446,0
32829,658.101,221.5995,189.0026275,1.172467827,0.522071263,33154,204.4484801,0.789785166,0.952538233,0
32836,669.19,218.4060038,191.7587728,1.138962252,0.478674896,33225,204.4702758,0.80291471,0.92142762,0
32849,664.105,230.7223076,181.7436855,1.269492841,0.616038378,33245,204.5107474,0.746568182,0.935962647,0
32870,655.512,220.3581629,190.0206598,1.159653709,0.506352834,33198,204.5761077,0.781242573,0.961276389,0
32885,659.728,227.0674037,184.5596932,1.230319577,0.582547095,33225,204.6227808,0.785669916,0.949462632,0
32920,671.612,219.0931338,191.4622125,1.144315272,0.486132629,33376,204.7316434,0.777974713,0.917134004,0
32925,656.646,225.1281702,186.4615283,1.207370616,0.560364527,33252,204.7471905,0.768683025,0.959562001,0
32934,668.197,221.4087308,189.6018111,1.167756413,0.516407505,33401,204.7751722,0.776708646,0.926926508,0
32947,668.231,209.6932927,200.2495993,1.047159612,0.296720861,33336,204.8155836,0.765319396,0.927198033,0
32951,688.26,226.6490462,185.5215755,1.221685649,0.574447868,33524,204.8280162,0.770801656,0.874124721,0
32988,676.797,224.7517099,187.1772945,1.20074238,0.553546741,33461,204.9429826,0.766699205,0.905000877,0
33006,669.769,223.5277491,188.2429412,1.187442927,0.539249994,33458,204.9988888,0.757018349,0.924597414,0
33010,665.85,224.9712592,186.8900915,1.203762369,0.556677424,33374,205.0113104,0.791587732,0.935626643,0
33013,652.684,223.7818539,188.0291423,1.190144523,0.542223823,33289,205.020626,0.789784689,0.973842946,0
33019,655.703,224.4502114,187.5026272,1.197051022,0.549663318,33340,205.0392561,0.764328704,0.965071386,0
33051,663.071,218.9513714,192.4739417,1.137563711,0.476689675,33423,205.1385878,0.777926846,0.94465755,0
33058,655.511,224.4458788,187.8781612,1.194635275,0.547087283,33320,205.1603102,0.799274662,0.96677736,0
33062,667.966,222.0391436,189.7813412,1.169973519,0.51908899,33439,205.1727219,0.77866227,0.931172778,0
33078,659.456,235.5600775,178.9312328,1.316483846,0.650391531,33333,205.2223615,0.787721471,0.955822961,0
33078,652.214,221.3869025,190.3548121,1.163022358,0.510582618,33327,205.2223615,0.772417336,0.977167183,0
33089,663.915,217.3358221,194.2070489,1.119093377,0.448903019,33466,205.2564817,0.774410223,0.94334064,0
33090,653.809,228.406675,184.6885548,1.236712666,0.588365282,33352,205.2595833,0.769355964,0.972758069,0
33143,648.385,222.5263095,189.7373793,1.172812181,0.522480157,33377,205.4238989,0.769979556,0.9906854,0
33159,653.801,222.4440287,189.98042,1.170878708,0.520175444,33415,205.4734778,0.788111423,0.974810341,0
33168,680.621,234.315548,180.5827539,1.297552191,0.637220052,33542,205.5013606,0.761240274,0.899742964,0
33171,654.338,222.253649,190.3614532,1.167534946,0.516138043,33429,205.5106541,0.790237278,0.973563187,0
33194,664.658,232.3085443,182.0856017,1.275820505,0.621001572,33520,205.5818899,0.773698809,0.944219534,0
33236,660.788,210.8580025,200.9273673,1.049424005,0.303273094,33611,205.711909,0.76828479,0.956520582,0
33248,660.068,230.9698347,183.4292487,1.259176693,0.607696024,33511,205.7490422,0.787661984,0.958954568,0
33251,658.962,217.452163,194.9834825,1.115233763,0.442693503,33565,205.7583245,0.757943925,0.962263101,0
33276,704.493,234.7881384,180.705496,1.299286096,0.6384619,33857,205.8356604,0.759656652,0.842534348,0
33316,670.587,229.2180829,185.2793615,1.237148493,0.588756561,33699,205.9593374,0.782616866,0.931005952,0
33319,668.601,225.0172378,188.8365103,1.191598158,0.543808892,33732,205.9686102,0.7960388,0.936629385,0
33325,674.433,223.8254842,189.7357064,1.179669807,0.530484185,33701,205.9871545,0.798969072,0.920666621,0
33330,653.776,224.3601667,189.4313875,1.184387496,0.535842011,33580,206.0026068,0.790184922,0.979912348,0
33333,679.262,220.5312914,192.7167056,1.144328878,0.486151306,33834,206.0118777,0.772240756,0.907840655,0
33338,659.103,232.2637945,182.9185092,1.269766497,0.616255393,33639,206.0273281,0.776747437,0.964368085,0
33344,661.508,225.3180561,188.668526,1.194253546,0.54667768,33692,206.0458672,0.763352487,0.957540959,0
33382,659.434,222.8701044,190.920249,1.167346605,0.515908654,33730,206.1632423,0.781688327,0.964671718,0
33399,664.701,221.5599425,192.0898879,1.153418042,0.498328415,33752,206.2157306,0.761491108,0.949927944,0
33421,654.804,219.5440823,194.0253903,1.131522436,0.46793088,33691,206.2836368,0.763385107,0.979504999,0
33423,659.036,224.1680528,189.9810797,1.179949356,0.530804973,33707,206.289809,0.772982724,0.967023472,0
33427,665.61,228.223182,186.6258656,1.222891486,0.575596241,33789,206.3021528,0.754491694,0.948129347,0
33429,658.605,229.4460905,185.6980934,1.235586679,0.587351259,33713,206.3083245,0.791743641,0.968463377,0
33431,666.841,219.9074077,193.6804685,1.135413444,0.473606709,33788,206.3144959,0.788708802,0.94474509,0
33433,657.349,225.0025125,189.5660154,1.186934863,0.538686621,33708,206.3206672,0.776807082,0.972284135,0
33446,656.077,224.2339338,190.2565986,1.178586895,0.529237524,33713,206.3607759,0.767814509,0.97643744,0
33447,664.412,226.1186154,188.7406408,1.198038824,0.550708725,33791,206.3638608,0.770224525,0.952120901,0
33459,655.414,219.1299474,194.5431002,1.12638252,0.460233577,33765,206.4008768,0.786308517,0.978794213,0
33468,659.987,224.4599389,189.9543464,1.181652029,0.53274976,33748,206.4286344,0.792329545,0.965536869,0
33498,657.523,227.9380769,187.3160543,1.21686354,0.569797937,33745,206.5211327,0.781494961,0.973658914,0
33534,657.067,218.8447518,195.1928536,1.121171948,0.452185632,33793,206.6320761,0.783504673,0.976058644,0
33538,658.284,227.5186814,187.9440519,1.210566012,0.563582376,33800,206.6443995,0.760516111,0.972569007,0
33539,662.418,223.6835362,191.2006021,1.169889288,0.518987648,33915,206.6474802,0.76426488,0.96049636,0
33547,653.512,213.7540709,199.9257014,1.069167543,0.353836994,33832,206.6721244,0.783570411,0.987089244,0
33560,669.259,227.9361768,187.8565921,1.213352027,0.566352488,33897,206.7121649,0.739858907,0.941549974,0
33576,666.339,224.5887253,190.4630178,1.179172355,0.529912303,33927,206.7614349,0.761792399,0.950272923,0
33583,657.754,221.7110512,192.9504091,1.149057171,0.492559596,33868,206.7829868,0.775302429,0.975444036,0
33584,658.848,223.7351826,191.3544824,1.169218404,0.518178984,33884,206.7860655,0.748056576,0.972236276,0
33607,690.171,214.7652972,199.5241432,1.076387518,0.369995763,34162,206.8568621,0.770802752,0.886596875,0
33620,670.224,222.7760833,192.2260318,1.158927754,0.505431801,34012,206.8968668,0.783244805,0.940519106,0
33623,659.408,217.371862,197.0837827,1.102941394,0.421848171,33918,206.9060976,0.793238493,0.97171275,0
33631,669.076,224.8894003,190.753366,1.178953771,0.52966059,34009,206.9307109,0.762884493,0.94405814,0
33639,663.03,224.6629064,190.8531005,1.177150939,0.52757456,33919,206.9553214,0.78625187,0.961582569,0
33717,664.363,231.6225255,185.6531262,1.247609077,0.597950376,33985,207.1951199,0.766225798,0.959948457,0
33731,671.696,231.1720126,186.1264562,1.242015871,0.593081148,34073,207.2381313,0.803214668,0.939493017,0
33736,655.729,221.390268,194.1359516,1.140387786,0.480682529,33988,207.2534904,0.786863834,0.985949497,0
33794,665.826,218.999894,196.5777218,1.114062631,0.440779117,34127,207.4315723,0.77773175,0.957917183,0
33809,669.341,230.2474971,187.1642998,1.230189184,0.582426873,34143,207.4776031,0.784067718,0.948303455,0
33824,656.339,220.7538648,195.2815454,1.130438948,0.466327555,34079,207.5236236,0.788438228,0.986684731,0
33838,661.029,222.9735137,193.4836383,1.152415344,0.497013692,34146,207.5665669,0.782128328,0.973135967,0
33845,670.945,226.3816048,190.5214245,1.188221248,0.540110507,34159,207.5880353,0.763926508,0.944779673,0
33849,669.571,221.610481,194.6713489,1.138382624,0.477854006,34239,207.6003019,0.786271777,0.948773259,0
33858,664.46,234.3350014,184.1392916,1.27259641,0.618486935,34142,207.6278992,0.781254326,0.963681409,0
33860,683.315,225.5350154,191.5211613,1.177598412,0.528093987,34319,207.6340314,0.77518315,0.911286442,0
33864,662.898,221.2164258,195.0635178,1.134073805,0.471666862,34167,207.6462953,0.771600437,0.968399824,0
33866,668.421,230.9311586,186.8608751,1.23584543,0.587584681,34171,207.652427,0.799933862,0.952518888,0
33876,666.966,228.1491732,189.1647868,1.20608691,0.559059342,34211,207.6830826,0.788272251,0.95696179,0
33930,666.214,224.1509688,192.8605622,1.162243676,0.50961126,34251,207.8485452,0.76272901,0.960652272,0
33946,667.313,231.5425397,187.0289921,1.238003462,0.589522187,34246,207.8975459,0.791226721,0.957942188,0
33946,668.564,234.754845,184.2937385,1.273808035,0.619435383,34280,207.8975459,0.761530869,0.954360587,0
33961,690.353,238.1924989,181.6542972,1.311240651,0.646827292,34379,207.9434735,0.770405154,0.895463526,0
33961,667.497,233.113834,185.7332978,1.255099849,0.604309903,34279,207.9434735,0.771192406,0.957837195,0
33969,666.389,222.3618326,194.7690372,1.141669311,0.482473841,34260,207.9679641,0.764705882,0.961251403,0
33972,672.812,232.9882693,185.9156247,1.25319359,0.602708675,34349,207.9771473,0.785661425,0.943069114,0
33993,669.092,219.7505747,197.0923214,1.114962639,0.442251584,34299,208.0414186,0.778228022,0.954174231,0
33996,663.743,223.0963581,194.3808765,1.147727915,0.490774479,34285,208.0505986,0.764693974,0.969700851,0
34004,659.963,229.0597505,189.1650397,1.210898964,0.563915151,34277,208.0750765,0.781970795,0.981071581,0
34027,670.16,231.6577053,187.4123657,1.236085487,0.587801025,34334,208.1454347,0.778507367,0.952086748,0
34036,666.067,226.9280102,191.1104706,1.187417987,0.539222369,34369,208.1729597,0.753842746,0.964078826,0
34051,677.272,227.6209458,190.6640036,1.193832824,0.546225424,34502,208.2188266,0.757901531,0.932853601,0
34053,671.582,232.4361441,186.7914403,1.24436186,0.595136326,34362,208.2249414,0.743986367,0.948783552,0
34060,662.146,220.4383774,196.882203,1.119646032,0.449779934,34367,208.2463418,0.789083496,0.976218398,0
34082,668.346,230.626947,188.3912829,1.22419118,0.576827653,34364,208.3135861,0.801740767,0.958809282,0
34097,680.595,227.819142,190.8101712,1.193957013,0.54635901,34502,208.359422,0.762250738,0.925014467,0
34104,667.289,229.478736,189.5440417,1.210688207,0.563704561,34421,208.3808087,0.798426745,0.962470112,0
34113,673.914,221.2423662,196.5103818,1.125855866,0.459431581,34492,208.4083026,0.77466164,0.943888774,0
34130,666.585,235.5413478,184.7780345,1.274725908,0.620151121,34392,208.4602256,0.795515465,0.965239485,0
34131,668.091,224.3380186,193.8042127,1.157549753,0.503674085,34473,208.4632795,0.770625423,0.960920889,0
34151,674.271,231.5136009,188.035623,1.231222027,0.583377426,34580,208.524348,0.750455974,0.943939862,0
34151,662.129,226.5248185,192.2363364,1.17836629,0.528982779,34389,208.524348,0.778210737,0.978876878,0
34179,677.064,225.0605017,193.5928928,1.16254527,0.50998793,34576,208.6098138,0.778015524,0.936935665,0
34191,661.403,223.9809149,194.474673,1.1517228,0.496101592,34445,208.6464313,0.771980131,0.982176064,0
34207,668.737,228.0324687,191.4154535,1.191296024,0.543480298,34515,208.6952446,0.757730817,0.961200851,0
34207,661.138,226.8735177,192.1947081,1.180435819,0.531362195,34421,208.6952446,0.774299425,0.983423569,0
34220,677.527,233.1830193,186.9591042,1.247240782,0.597632979,34577,208.734897,0.773752996,0.936777941,0
34222,671.994,223.2982638,195.2383681,1.143721216,0.485315785,34576,208.7409967,0.7843326,0.95232341,0
34239,666.439,232.6862934,187.7243461,1.239510475,0.59086546,34510,208.792837,0.769554077,0.968746459,0
34246,684.324,229.9085042,189.9911444,1.21010116,0.563116981,34732,208.8141792,0.779558388,0.91895908,0
34253,672.539,228.0042799,191.3685323,1.191440814,0.543637825,34556,208.8355193,0.792893519,0.951641846,0
34254,668.704,223.9688286,194.9291861,1.148975344,0.492450072,34575,208.8385677,0.775363303,0.962616531,0
34259,676.402,227.5449241,191.8680382,1.185944914,0.537585123,34623,208.8538091,0.770124761,0.940967839,0
34276,689.626,229.5589772,190.4115066,1.205594039,0.558556303,34738,208.9056214,0.763113367,0.905675761,0
34291,671.507,230.658067,189.6239312,1.216397453,0.569343533,34619,208.9513274,0.78204251,0.955628131,0
34313,671.844,220.9339754,198.103852,1.115243208,0.442708884,34600,209.0183449,0.796975891,0.955282162,0
34321,669.531,227.9958451,191.8273267,1.188547268,0.540470046,34652,209.0427095,0.787467878,0.962118171,0
34327,677.311,231.1581283,189.3043718,1.221092393,0.573880789,34714,209.0609812,0.793596116,0.940306539,0
34333,665.686,229.2148642,190.8718701,1.200883421,0.553693873,34592,209.0792512,0.779056047,0.973604944,0
34337,667.785,229.8067605,190.6295846,1.205514668,0.558475195,34583,209.0914304,0.809796708,0.967606759,0
34349,674.863,238.2312433,183.7249369,1.296673425,0.636587835,34645,209.1279635,0.783365262,0.947747671,0
34390,680.24,245.0146708,178.97451,1.368991991,0.682950707,34759,209.252737,0.793932958,0.933937272,0
34394,669.762,230.9211333,189.9052632,1.215980692,0.568936466,34730,209.264906,0.781681818,0.963499612,0
34395,665.156,231.7171471,189.1898259,1.224786513,0.577389526,34638,209.2679482,0.791235335,0.97691809,0
34397,678.85,229.7747022,190.931594,1.20343992,0.556345118,34776,209.2740324,0.772202766,0.937956691,0
34410,684.481,232.4579361,188.9396293,1.230329164,0.582555932,34802,209.3135751,0.80069808,0.92293633,0
34412,667.199,233.9589857,187.3982909,1.248458481,0.598680683,34677,209.319658,0.787459954,0.971424393,0
34419,687.797,224.1432457,195.6151627,1.14583779,0.488214125,34885,209.3409465,0.775202703,0.914297554,0
34421,678.034,232.4039146,189.1497475,1.228676843,0.581027879,34762,209.3470286,0.755708264,0.940871694,0
34425,680.503,232.6456666,188.5544051,1.233838406,0.585767825,34791,209.3591921,0.758928571,0.934165286,0
34428,688.178,229.7324979,191.3790717,1.20040554,0.553194986,34908,209.3683143,0.777770247,0.913524268,0
34441,675.683,228.6978291,191.9152031,1.191660824,0.543876991,34826,209.4078393,0.790874437,0.947980998,0
34443,684.507,234.60733,187.5726238,1.250754642,0.600643034,34874,209.4139194,0.784650082,0.923751269,0
34447,682.912,225.0874113,195.3291753,1.152349161,0.496926671,34853,209.4260791,0.745783628,0.928179091,0
34461,675.775,246.7254393,178.1577837,1.384870389,0.691799925,34691,209.4686324,0.770181477,0.948273245,0
34469,666.834,230.1579705,190.9936711,1.205055483,0.558005411,34747,209.4929447,0.789667812,0.974098956,0
34474,672.3,225.6494093,194.6503481,1.159255102,0.505847536,34774,209.5081384,0.793308174,0.958462926,0
34475,677.676,241.0431821,182.3691135,1.321732487,0.65389796,34878,209.511177,0.776463964,0.943343645,0
34483,687.567,233.7407243,188.5878665,1.239426102,0.590790465,35051,209.5354844,0.740677893,0.916610562,0
34491,674.657,233.182837,188.5763657,1.236543276,0.588213024,34829,209.5597889,0.785850991,0.952246946,0
34503,678.24,236.5446412,185.8927694,1.272478978,0.618394789,34885,209.5962405,0.747724515,0.94254029,0
34509,668.332,230.3294856,190.9197413,1.206420478,0.559399185,34776,209.6144638,0.783654283,0.970862501,0
34521,667.908,224.7553177,195.6829765,1.148568576,0.491904913,34830,209.6509059,0.78580046,0.972433566,0
34523,673.987,231.9170486,189.734176,1.22232617,0.575058574,34878,209.6569789,0.785863874,0.955026346,0
34532,689.551,217.0221026,202.7149085,1.070577908,0.357077019,35057,209.6843055,0.768333927,0.912638553,0
34543,670.896,235.0180104,187.2911352,1.254827198,0.604081588,34826,209.7176998,0.769194798,0.964405129,0
34543,669.456,226.9754434,193.972557,1.170142039,0.51929162,34827,209.7176998,0.786784803,0.968558463,0
34594,670.069,233.4408877,188.8659908,1.236013359,0.587736043,34848,209.8724584,0.781432121,0.968214523,0
34600,673.252,231.4349165,190.4578223,1.215150492,0.568123459,34919,209.8906578,0.777790266,0.959247461,0
34601,685.556,226.5195392,194.7187568,1.163316482,0.510948533,35048,209.8936909,0.780620417,0.925151042,0
34622,683.382,235.9288048,187.0530848,1.261293312,0.609433752,35010,209.9573755,0.763726204,0.931611724,0
34623,675.213,228.1943707,193.5033005,1.179278959,0.53003497,34965,209.9604076,0.759576148,0.954317679,0
34626,667.845,231.8884211,190.4682829,1.217464754,0.570382778,34913,209.9695037,0.761848185,0.975575378,0
34629,670.997,233.1312208,189.6828749,1.22905782,0.581381107,34915,209.9785994,0.745816373,0.966515131,0
34631,670.02,229.3367837,192.4014026,1.191970436,0.544213158,34953,209.9846629,0.760686201,0.969391848,0
34635,667.638,227.0632245,194.4152197,1.167929264,0.51661761,34929,209.9967896,0.764012971,0.976434152,0
34638,677.314,234.6904502,188.3397997,1.246101199,0.59664803,34989,210.0058841,0.757876772,0.948817239,0
34666,681.015,225.7926672,195.8277652,1.153016616,0.497802899,35034,210.0907472,0.797799871,0.939291173,0
34671,674.874,235.5895195,187.6497244,1.255474903,0.604623587,35015,210.1058977,0.765769944,0.956601017,0
34676,668.424,226.4475067,195.193788,1.160116359,0.506938033,34982,210.1210471,0.777907394,0.975292284,0
34680,669.575,231.2624473,191.2410961,1.20927171,0.56228427,34941,210.1331659,0.77594308,0.972054226,0
34700,690.412,233.6301362,189.501815,1.2328649,0.58488132,35154,210.1937492,0.747877064,0.914792671,0
34703,676.387,230.7693155,191.7626609,1.203411104,0.556315398,35025,210.2028352,0.77323975,0.953205151,0
34722,670.391,227.2593515,194.7318627,1.167037322,0.515531503,34999,210.2603707,0.790375817,0.970863662,0
34729,671.193,228.8102714,193.6576351,1.181519496,0.532598937,35043,210.281564,0.777143752,0.968740162,0
34733,670.564,228.3272478,193.8600236,1.177794388,0.52832113,35019,210.2936735,0.777807636,0.97067019,0
34747,672.202,234.5404192,188.725983,1.242756379,0.593731888,35043,210.3360513,0.78414425,0.966334706,0
34748,669.267,221.0904959,200.2691414,1.103966864,0.423653581,35046,210.3390779,0.770465632,0.974856864,0
34750,675.599,223.1988366,198.5282098,1.124267613,0.456997571,35091,210.3451311,0.805069039,0.956724018,0
34757,686.779,231.22987,191.6720331,1.206382936,0.559360961,35150,210.3663159,0.786410842,0.926015239,0
34761,687.872,229.7370214,192.8875726,1.191041073,0.543202669,35171,210.3784205,0.776816841,0.92318101,0
34766,669.475,232.1753322,190.9940473,1.215615541,0.568579226,35054,210.3935503,0.75210384,0.974755876,0
34771,683.109,230.5865191,192.1855584,1.199811896,0.552573788,35163,210.408679,0.783978175,0.936369007,0
34772,671.947,228.0476746,194.336638,1.173467221,0.523256094,35103,210.4117046,0.763179843,0.967764075,0
34774,677.726,228.5222155,193.96029,1.178190729,0.528779858,35139,210.4177557,0.780561167,0.951384824,0
34787,677.348,230.8566379,192.6459316,1.198346811,0.551033739,35126,210.4570836,0.726833957,0.952803043,0
34792,692.19,228.0326605,194.3385831,1.173378219,0.523150809,35231,210.4722078,0.784929498,0.912512069,0
34794,693.537,237.4905508,186.9933377,1.270048194,0.616478558,35187,210.4782571,0.747197526,0.909023168,0
34794,671.293,236.6108792,187.4231531,1.262442101,0.610371182,35052,210.4782571,0.784974619,0.970264152,0
34800,671.796,226.6361886,195.613827,1.15858982,0.505001894,35120,210.4964041,0.784632035,0.968978812,0
34841,675.857,231.9569641,191.6112724,1.210560116,0.563576479,35137,210.620367,0.789079132,0.958497188,0
34841,670.201,223.7224915,198.5307932,1.126890634,0.461004955,35122,210.620367,0.787580813,0.974743466,0
34847,686.633,236.4262236,188.0626579,1.257167299,0.606033555,35229,210.6385017,0.761017689,0.928807931,0
